"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 31 11:52:07 GMT 2022","Mon Oct 31 11:52:14 GMT 2022","6873","","Login","","","","should move to login page and log in",""
"passed","Mon Oct 31 11:52:04 GMT 2022","Mon Oct 31 11:52:07 GMT 2022","3050","","Login","","","","should show landing page",""
